,population,access_rate,beta,iteration,pfprunder5,pfpr2to10,pfprall
cal_50_0.75_0.01_monthly_data_4,50.0,0.75,0.01,4.0,0.0,0.0,0.0
cal_50_0.75_0.01_monthly_data_5,50.0,0.75,0.01,5.0,0.0,0.0,0.0
cal_50_0.75_0.01_monthly_data_6,50.0,0.75,0.01,6.0,0.0,0.0,0.0
cal_50_0.75_0.01_monthly_data_7,50.0,0.75,0.01,7.0,0.0,0.0,0.0
cal_50_0.75_0.01_monthly_data_8,50.0,0.75,0.01,8.0,0.0,0.0,0.0
cal_50_0.75_0.01_monthly_data_9,50.0,0.75,0.01,9.0,0.0,0.0,0.0
cal_75_0.55_0.001_monthly_data_0,75.0,0.55,0.001,0.0,0.0,0.0,0.0
cal_75_0.55_0.001_monthly_data_1,75.0,0.55,0.001,1.0,0.0,0.0,0.0
cal_75_0.55_0.001_monthly_data_2,75.0,0.55,0.001,2.0,0.0,0.0,0.0
cal_75_0.55_0.001_monthly_data_3,75.0,0.55,0.001,3.0,0.0,0.0,0.0
cal_75_0.55_0.001_monthly_data_4,75.0,0.55,0.001,4.0,0.0,0.0,0.0
cal_75_0.55_0.001_monthly_data_5,75.0,0.55,0.001,5.0,0.0,0.0,0.0
cal_75_0.55_0.001_monthly_data_6,75.0,0.55,0.001,6.0,0.0,0.0,0.0
cal_75_0.55_0.001_monthly_data_7,75.0,0.55,0.001,7.0,0.0,0.0,0.0
cal_75_0.55_0.001_monthly_data_8,75.0,0.55,0.001,8.0,0.0,0.0,0.0
cal_75_0.55_0.001_monthly_data_9,75.0,0.55,0.001,9.0,0.0,0.0,0.0
cal_75_0.55_0.005_monthly_data_0,75.0,0.55,0.005,0.0,0.0,0.0,0.0
cal_75_0.55_0.005_monthly_data_1,75.0,0.55,0.005,1.0,0.0,0.0,0.0
