Name,Year,Value,Id
Tete,2010,357.974006000000,10
Tete,2011,355.778303000000,10
Tete,2012,352.571003000000,10
Tete,2013,344.980582000000,10
Tete,2014,318.234563000000,10
Tete,2015,284.206045000000,10
Tete,2016,257.880941000000,10
Tete,2017,236.53641700000000,10
Tete,2018,223.86501000000001,10
Tete,2019,222.65185600000,10
Tete,2020,243.011059000000,10
Tete,2021,270.546429000000,10
Tete,2022,292.58480300000002,10
Cabo Delgado,2010,410.77129900000000,1
Cabo Delgado,2011,404.712725000000,1
Cabo Delgado,2012,396.57428199999998,1
Cabo Delgado,2013,387.44266399999998,1
Cabo Delgado,2014,373.455351000000,1
Cabo Delgado,2015,364.61236700000001,1
Cabo Delgado,2016,368.349817000000,1
Cabo Delgado,2017,379.47975700000001,1
Cabo Delgado,2018,409.921208000000,1
Cabo Delgado,2019,427.707879000000,1
Cabo Delgado,2020,431.67925800000000,1
Cabo Delgado,2021,376.493803000000,1
Cabo Delgado,2022,333.038869000000,1
Manica,2010,359.396034000000,4
Manica,2011,328.04652499999997,4
Manica,2012,277.884713000000,4
Manica,2013,241.137079000000,4
Manica,2014,226.11997199999999,4
Manica,2015,234.448704000000,4
Manica,2016,259.47097800000000,4
Manica,2017,288.211557000000,4
Manica,2018,328.114927000000,4
Manica,2019,347.22055999999998,4
Manica,2020,348.793957000000,4
Manica,2021,298.913365000000,4
Manica,2022,266.45935200000002,4
Nampula,2010,447.434810000000,7
Nampula,2011,457.862282000000,7
Nampula,2012,496.798143000000,7
Nampula,2013,522.2566150000000,7
Nampula,2014,529.900644000000,7
Nampula,2015,520.8317440000000,7
Nampula,2016,488.098288000000,7
Nampula,2017,446.28787100000000,7
Nampula,2018,403.598025000000,7
Nampula,2019,358.402565000000,7
Nampula,2020,340.528262000000,7
Nampula,2021,316.890902000000,7
Nampula,2022,318.391799000000,7
Sofala,2010,338.297728000000,9
Sofala,2011,322.474077000000,9
Sofala,2012,300.15243900000002,9
Sofala,2013,285.79590700000000,9
Sofala,2014,273.161303000000,9
Sofala,2015,268.358202000000,9
Sofala,2016,274.174562000000,9
Sofala,2017,284.239629000000,9
Sofala,2018,300.65362100000,9
Sofala,2019,315.492846000000,9
Sofala,2020,339.923757000000,9
Sofala,2021,340.741691000000,9
Sofala,2022,331.40624800000001,9
Niassa,2010,400.060979000000,8
Niassa,2011,384.972777000000,8
Niassa,2012,348.57826399999999,8
Niassa,2013,313.434951000000,8
Niassa,2014,301.299768000000,8
Niassa,2015,319.091857000000,8
Niassa,2016,351.49608300000000,8
Niassa,2017,362.348894000000,8
Niassa,2018,358.920215000000,8
Niassa,2019,342.201517000000,8
Niassa,2020,344.302922000,8
Niassa,2021,330.526264000000,8
Niassa,2022,310.622444000000,8
Zambezia,2010,485.746143000000,11
Zambezia,2011,494.572089000000,11
Zambezia,2012,489.327432000000,11
Zambezia,2013,483.77987999999999,11
Zambezia,2014,485.558436000000,11
Zambezia,2015,489.95041600000002,11
Zambezia,2016,485.83788099999998,11
Zambezia,2017,462.92092200000002,11
Zambezia,2018,426.088026000000,11
Zambezia,2019,378.698574000000,11
Zambezia,2020,362.601052000000,11
Zambezia,2021,349.941137000000,11
Zambezia,2022,353.309441000000,11
Gaza,2010,200.281730000000,2
Gaza,2011,187.110352000000,2
Gaza,2012,194.167470000000,2
Gaza,2013,212.292419000000,2
Gaza,2014,202.25555800000001,2
Gaza,2015,177.366744000000,2
Gaza,2016,163.03421000000,2
Gaza,2017,157.56717399999999,2
Gaza,2018,169.329294000000,2
Gaza,2019,194.868936000000,2
Gaza,2020,236.82483600000000,2
Gaza,2021,296.926868000000,2
Gaza,2022,350.480876000000,2
Inhambane,2010,378.53153700000001,3
Inhambane,2011,334.142803000000,3
Inhambane,2012,290.970873000000,3
Inhambane,2013,263.91926500000000,3
Inhambane,2014,246.525389000000,3
Inhambane,2015,244.779963000000,3
Inhambane,2016,261.31296600000,3
Inhambane,2017,275.468682000000,3
Inhambane,2018,298.345030000000,3
Inhambane,2019,311.601816000000,3
Inhambane,2020,319.08039600000001,3
Inhambane,2021,294.239465000000,3
Inhambane,2022,302.223031000000,3
Maputo,2010,133.329506000000,5
Maputo,2011,155.766687000000,5
Maputo,2012,185.64958899999999,5
Maputo,2013,204.050562000000,5
Maputo,2014,174.63160200000,5
Maputo,2015,118.933925000000,5
Maputo,2016,83.6359460000000,5
Maputo,2017,73.9515160000000,5
Maputo,2018,87.5008580000000,5
Maputo,2019,122.607778000000,5
Maputo,2020,177.504420000000,5
Maputo,2021,244.32794699999999,5
Maputo,2022,288.357413000000,5
Cidade De Maputo,2010,113.06049700000000,6
Cidade De Maputo,2011,127.66151200000000,6
Cidade De Maputo,2012,155.373533000000,6
Cidade De Maputo,2013,173.768261000000,6
Cidade De Maputo,2014,147.004945000000,6
Cidade De Maputo,2015,96.9312400000000,6
Cidade De Maputo,2016,67.61063100000000,6
Cidade De Maputo,2017,60.269790000000000,6
Cidade De Maputo,2018,75.5441690000000,6
Cidade De Maputo,2019,113.25800700000001,6
Cidade De Maputo,2020,166.501088000000,6
Cidade De Maputo,2021,222.10858999999999,6
Cidade De Maputo,2022,261.55951599999997,6

