population,access_rate,beta,pfpr2to10
10.0,0.9,0.25,0.0
10.0,0.9,0.3,4.166666666666666
10.0,0.9,0.4,13.472222222222223
10.0,0.9,0.5,0.0
10.0,0.9,0.6,10.694444444444443
10.0,0.9,0.8,26.069444444444446
10.0,0.9,1.0,32.68055555555556
10.0,0.95,0.001,0.0
10.0,0.95,0.005,0.0
10.0,0.95,0.01,0.0
10.0,0.95,0.0125,0.0
10.0,0.95,0.015,0.0
10.0,0.95,0.02,0.0
10.0,0.95,0.03,0.0
10.0,0.95,0.04,0.0
10.0,0.95,0.05,0.0
10.0,0.95,0.1,0.0
10.0,0.95,0.15,0.0
10.0,0.95,0.2,0.0
10.0,0.95,0.25,0.0
10.0,0.95,0.3,0.0
10.0,0.95,0.4,3.3611111111111107
10.0,0.95,0.5,5.833333333333334
10.0,0.95,0.6,15.821759259259258
10.0,0.95,0.8,32.84722222222223
10.0,0.95,1.0,0.0
25.0,0.5,0.001,0.0
25.0,0.5,0.005,0.0
25.0,0.5,0.01,0.0
25.0,0.5,0.0125,0.0
25.0,0.5,0.015,0.0
25.0,0.5,0.02,0.0
25.0,0.5,0.03,0.0
25.0,0.5,0.04,0.0
25.0,0.5,0.05,0.0
25.0,0.5,0.1,2.7350427350427355
25.0,0.5,0.15,5.379629629629629
25.0,0.5,0.2,8.373015873015873
25.0,0.5,0.25,29.588594276094273
25.0,0.5,0.3,26.669642857142854
25.0,0.5,0.4,24.643518518518515
25.0,0.5,0.5,44.451719576719576
25.0,0.5,0.6,39.117063492063494
25.0,0.5,0.8,41.58730158730158
25.0,0.5,1.0,55.04689754689755
25.0,0.55,0.001,0.0
25.0,0.55,0.005,0.0
25.0,0.55,0.01,0.0
25.0,0.55,0.0125,0.0
25.0,0.55,0.015,0.0
25.0,0.55,0.02,0.0
25.0,0.55,0.03,0.0
25.0,0.55,0.04,0.0
25.0,0.55,0.05,0.0
25.0,0.55,0.1,0.0
25.0,0.55,0.15,8.494378306878307
25.0,0.55,0.2,12.329034391534389
25.0,0.55,0.25,27.862584175084173
25.0,0.55,0.3,18.93347162097162
25.0,0.55,0.4,32.26289682539682
25.0,0.55,0.5,25.887896825396826
25.0,0.55,0.6,37.80877224627224
25.0,0.55,0.8,47.51509139009139
25.0,0.55,1.0,55.833333333333336
25.0,0.6,0.001,0.0
25.0,0.6,0.005,0.0
25.0,0.6,0.01,0.0
25.0,0.6,0.0125,0.0
25.0,0.6,0.015,0.0
25.0,0.6,0.02,0.0
25.0,0.6,0.03,0.0
25.0,0.6,0.04,0.0
25.0,0.6,0.05,1.3333333333333335
25.0,0.6,0.1,0.0
25.0,0.6,0.15,0.0
25.0,0.6,0.2,7.543650793650793
25.0,0.6,0.25,6.423611111111112
25.0,0.6,0.3,12.731060606060606
25.0,0.6,0.4,28.215848965848966
25.0,0.6,0.5,37.251653439153436
25.0,0.6,0.6,38.160052910052904
25.0,0.6,0.8,54.753817941317934
25.0,0.6,1.0,60.25562169312169
25.0,0.65,0.001,0.0
25.0,0.65,0.005,0.0
25.0,0.65,0.01,0.0
25.0,0.65,0.0125,0.0
25.0,0.65,0.015,0.0
25.0,0.65,0.02,0.0
25.0,0.65,0.03,0.0
25.0,0.65,0.04,0.0
25.0,0.65,0.05,0.0
25.0,0.65,0.1,0.0
25.0,0.65,0.15,10.725378787878787
25.0,0.65,0.2,5.656746031746032
25.0,0.65,0.25,19.74074074074074
25.0,0.65,0.3,18.230191105191103
25.0,0.65,0.4,9.583333333333332
25.0,0.65,0.5,42.0436507936508
25.0,0.65,0.6,49.22285122285122
25.0,0.65,0.8,49.41435185185185
25.0,0.65,1.0,56.96906565656566
25.0,0.7,0.001,0.0
25.0,0.7,0.005,0.0
25.0,0.7,0.01,0.0
25.0,0.7,0.0125,0.0
25.0,0.7,0.015,0.0
25.0,0.7,0.02,0.0
25.0,0.7,0.03,0.0
25.0,0.7,0.04,0.0
25.0,0.7,0.05,0.0
25.0,0.7,0.1,1.4110195360195354
25.0,0.7,0.15,5.417508417508418
25.0,0.7,0.2,8.798941798941799
25.0,0.7,0.25,13.328373015873016
25.0,0.7,0.3,7.105970418470418
25.0,0.7,0.4,29.01686507936508
25.0,0.7,0.5,31.62787675287675
25.0,0.7,0.6,39.54419191919192
25.0,0.7,0.8,51.523238335738334
25.0,0.7,1.0,56.981872294372295
25.0,0.75,0.001,0.0
25.0,0.75,0.005,0.0
25.0,0.75,0.01,0.0
25.0,0.75,0.0125,0.0
25.0,0.75,0.015,0.0
25.0,0.75,0.02,0.0
25.0,0.75,0.03,0.0
25.0,0.75,0.04,0.0
25.0,0.75,0.05,0.0
25.0,0.75,0.1,1.329365079365079
25.0,0.75,0.15,9.020412457912457
25.0,0.75,0.2,15.303571428571427
25.0,0.75,0.25,9.893849206349206
25.0,0.75,0.3,23.14285714285714
25.0,0.75,0.4,23.630291005291006
25.0,0.75,0.5,38.97982804232804
25.0,0.75,0.6,51.860449735449734
25.0,0.75,0.8,45.00126262626262
25.0,0.75,1.0,59.453703703703695
25.0,0.8,0.001,0.0
25.0,0.8,0.005,0.0
25.0,0.8,0.01,0.0
25.0,0.8,0.0125,0.0
25.0,0.8,0.015,0.0
25.0,0.8,0.02,0.0
25.0,0.8,0.03,0.0
25.0,0.8,0.04,0.0
25.0,0.8,0.05,0.0
25.0,0.8,0.1,0.08333333333333334
25.0,0.8,0.15,9.780423280423282
25.0,0.8,0.2,3.0208333333333335
25.0,0.8,0.25,23.363786676286676
25.0,0.8,0.3,22.92965367965368
25.0,0.8,0.4,28.153409090909086
25.0,0.8,0.5,27.94312169312169
25.0,0.8,0.6,31.329545454545457
25.0,0.8,0.8,44.891777204277204
25.0,0.8,1.0,55.538089225589225
25.0,0.85,0.001,0.0
25.0,0.85,0.005,0.0
25.0,0.85,0.01,0.0
25.0,0.85,0.0125,0.0
25.0,0.85,0.015,0.0
25.0,0.85,0.02,0.0
25.0,0.85,0.03,0.0
25.0,0.85,0.04,0.0
25.0,0.85,0.05,0.0
25.0,0.85,0.1,0.40482026143790845
25.0,0.85,0.15,3.0913299663299663
25.0,0.85,0.2,11.994845432345432
25.0,0.85,0.25,7.125686813186812
25.0,0.85,0.3,6.875
25.0,0.85,0.4,27.45857383357383
25.0,0.85,0.5,32.1702787952788
25.0,0.85,0.6,43.16501322751323
